id,name,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,last_known_institution,x_concepts,works_api_url,updated_date,created_date
A4379737106,Dina Tarek,1,0,0,0,0,I145487455,"C2524010,C13280743,C15744967,C17744445,C25344961,C33923547,C41008148,C50522688,C71924100,C76155785,C77805123,C79974875,C111919701,C120314980,C127313418,C127413603,C138959212,C142724271,C149810388,C157764524,C162324750,C187691185,C199360897,C199539241,C204787440",https://api.openalex.org/works?filter=author.id:A4379737106,2023-06-08,2023-06-08
A4379737109,Yitian Sun,1,0,0,0,0,I4210089161,"C1633027,C2524010,C11171543,C15744967,C24326235,C31258907,C33923547,C38349280,C41008148,C46918542,C49040817,C57879066,C71924100,C76155785,C77805123,C86803240,C97355855,C107551265,C119599485,C121332964,C126322002,C127162648,C127413603,C140820882,C146978453",https://api.openalex.org/works?filter=author.id:A4379737109,2023-06-08,2023-06-08
A4379737113,Qinghai He,1,0,0,0,0,I4210089161,"C1633027,C2524010,C11171543,C15744967,C24326235,C31258907,C33923547,C38349280,C41008148,C46918542,C49040817,C57879066,C71924100,C76155785,C77805123,C86803240,C97355855,C107551265,C119599485,C121332964,C126322002,C127162648,C127413603,C140820882,C146978453",https://api.openalex.org/works?filter=author.id:A4379737113,2023-06-08,2023-06-08
A4379737114,Hui Li,1,0,0,0,0,I154099455,"C1633027,C2524010,C11171543,C15744967,C24326235,C31258907,C33923547,C38349280,C41008148,C46918542,C49040817,C57879066,C71924100,C76155785,C77805123,C86803240,C97355855,C107551265,C119599485,C121332964,C126322002,C127162648,C127413603,C140820882,C146978453",https://api.openalex.org/works?filter=author.id:A4379737114,2023-06-08,2023-06-08
