id,name,doi,publication_date,type,is_oa,oa_status,oa_url,authorships,cited_by_count,is_retracted,is_paratext,concepts,locations,best_oa_location,referenced_works,related_works,ngrams_url,cited_by_api_url,updated_date,created_date
W4233763799,Symposion für alte Musik in Krems,https://doi.org/10.7767/omz.1960.15.jg.162,1960-01-01,journal-article,False,closed,,,0,False,False,C142362112,S1027252803,,,"W88320,W2357841,W4722863,W5409849,W8188280,W10667257,W16645413,W17399914,W18257074,W26420668",,https://api.openalex.org/works?filter=cites:W4233763799,2023-04-15,2022-05-12
W4234454779,HUMAN HORIZONS,https://doi.org/10.1021/cen-v039n033.p026,1961-08-14,journal-article,False,closed,,,0,False,False,"C2992257854,C185592680,C39432304,C127413603,C146978453,C29829512",S163506364,,,"W533705,W5512454,W9269266,W20957687,W36025581,W42973588,W71690901,W80126318,W81951782,W112110810",,https://api.openalex.org/works?filter=cites:W4234454779,2023-04-15,2022-05-12
W4234501969,BOOKS,https://doi.org/10.1021/cen-v039n033.p077,1961-08-14,journal-article,False,closed,,,0,False,False,"C185592680,C144133560",S163506364,,,"W4039402,W6491440,W18736727,W24366449,W26806622,W28107338,W28474752,W29430631,W30628898,W40229857",,https://api.openalex.org/works?filter=cites:W4234501969,2023-04-15,2022-05-12
W4234624440,"Contracts. Independent Contractor. Negligence. Liability of Employer. Berg v. Parsons, 51, N. E. Rep. 957 (N. Y.)",https://doi.org/10.2307/782852,1898-10-01,journal-article,False,closed,,,0,False,False,"C2777834853,C144133560,C2780648417,C190253527,C199539241,C10138342,C162324750,C17744445,C127413603,C18762648,C78519656",S161895660,,,"W4764945,W11428712,W16732833,W17656998,W24583166,W30251153,W30927431,W31791125,W32419622,W34793483",,https://api.openalex.org/works?filter=cites:W4234624440,2023-04-15,2022-05-12
W4235817908,Product Literature,https://doi.org/10.1093/labmed/4.5.45,1973-05-01,journal-article,False,closed,,,0,False,False,"C90673727,C144133560,C33923547,C2524010",S19362967,,,"W423903,W800518,W1577326,W14980156,W17714897,W18107773,W23085311,W25070157,W26750436,W49009173",,https://api.openalex.org/works?filter=cites:W4235817908,2023-04-15,2022-05-12
W4236359196,Guest editors and guest reviewers,https://doi.org/10.1016/0145-2134(85)90106-1,1985-01-01,journal-article,False,closed,,,0,False,False,"C71924100,C545542383,C15744967",S53055215,,,"W201315,W1463612,W3322784,W3594180,W3967353,W5039783,W5354556,W7829006,W9265575,W9952199",,https://api.openalex.org/works?filter=cites:W4236359196,2023-04-15,2022-05-12
W4236382417,"Federal Taxation. Constitutional Law. Liens. United States v. Snyder et al., 13 Sup. Ct. Rep. 846",https://doi.org/10.2307/782206,1893-10-01,journal-article,False,closed,,,0,False,False,"C199539241,C198004926,C17744445,C18650270,C190253527,C162324750",S161895660,,,"W170939,W1070155,W2076045,W3288359,W4479829,W8489361,W11334571,W17072002,W20275149,W21952733",,https://api.openalex.org/works?filter=cites:W4236382417,2023-04-15,2022-05-12
W4237054546,Now is the time for all good men... to listen to the voice of patriotism!,https://doi.org/10.1021/cen-v039n033.p054,1961-08-14,journal-article,False,closed,,,0,False,False,"C2776786559,C81696912,C15744967,C17744445,C199539241,C41008148,C94625758,C111919701",S163506364,,,"W1899886,W2438593,W3352654,W6328689,W9618050,W13105559,W23654670,W25857599,W34080130,W37219936",,https://api.openalex.org/works?filter=cites:W4237054546,2023-04-15,2022-05-12
W4237348585,Call for papers,https://doi.org/10.1007/bf03185638,1998-10-01,journal-article,False,closed,,,0,False,False,"C178229462,C15744967,C2992824598,C19417346,C145420912",S192156642,,,"W386672,W3927356,W4334242,W4629323,W6668617,W8921124,W14588116,W19704232,W20660160,W27705577",,https://api.openalex.org/works?filter=cites:W4237348585,2023-04-15,2022-05-12
W4238368798,From the Publishers,https://doi.org/10.1086/460462,1968-04-01,journal-article,False,closed,,,0,False,False,"C15744967,C145420912",S182159023,,,"W1278876,W1451671,W3245209,W6972704,W16321928,W20136693,W20225044,W23940791,W25826072,W27184846",,https://api.openalex.org/works?filter=cites:W4238368798,2023-04-15,2022-05-12
